Instrument,Accuracy,Class
Nord_BambinoUpright-XL,0.97,Upright
Nord_ConcertGrand1Amb-Lrg,0.92,Grand
Nord_GrandLadyD-Lrg,0.74,Grand
Nord_QueenUpright-Lrg,0.98,Upright
Nord_SilverGrand-XL,0.94,Grand
Instrument,Accuracy,Class
AkPnBcht,0.78,Grand
AkPnBsdf,0.61,Grand
AkPnCGdD,0.71,Grand
AkPnStgb,0.67,Upright
ENSTDkAm,0.88,Upright
ENSTDkCl,0.67,Upright
SptkBGAm,0.6,Grand
StbgTGd2,0.58,Grand
grand-closed,0.91,Grand
grand-open,0.86,Grand
grand-removed,0.89,Grand
upright-closed,0.96,Upright
upright-open,0.95,Upright
upright-semiopen,0.88,Upright
