Instrument,Accuracy,Class
Nord_BambinoUpright-XL,0.56,Upright
Nord_ConcertGrand1Amb-Lrg,1.0,Grand
Nord_GrandLadyD-Lrg,0.89,Grand
Nord_QueenUpright-Lrg,0.61,Upright
Nord_SilverGrand-XL,0.87,Grand
Instrument,Accuracy,Class
AkPnBcht,0.45,Grand
AkPnBsdf,0.27,Grand
AkPnCGdD,0.21,Grand
AkPnStgb,1.0,Upright
ENSTDkAm,0.93,Upright
ENSTDkCl,0.99,Upright
SptkBGAm,0.07,Grand
StbgTGd2,0.16,Grand
grand-closed,0.3,Grand
grand-open,0.21,Grand
grand-removed,0.27,Grand
upright-closed,0.74,Upright
upright-open,0.7,Upright
upright-semiopen,0.65,Upright
